[START OF SIMULATION]
0x0000008C:	cmpi r2,10               	SR=0x00000002
0x00000090:	bne -4                   	PC=0x00000084
0x00000084:	addi r1,r1,1             	R1=R1+0x00000001=0x00000275,SR=0x00000002
0x00000088:	l8 r2,[r1+0]             	R2=MEM[0x00000275]=0x45
0x0000008C:	cmpi r2,10               	SR=0x00000002
0x00000090:	bne -4                   	PC=0x00000084
0x00000084:	addi r1,r1,1             	R1=R1+0x00000001=0x00000276,SR=0x00000002
0x00000088:	l8 r2,[r1+0]             	R2=MEM[0x00000276]=0x53
0x0000008C:	cmpi r2,10               	SR=0x00000002
0x00000090:	bne -4                   	PC=0x00000084
0x00000084:	addi r1,r1,1             	R1=R1+0x00000001=0x00000277,SR=0x00000002
